Company,Executive,Title,Since,Notes,Updated,undergraduate_years,undergraduate_institute,undergraduate_major,undergraduate_minor,undergraduate_degree,undergraduate_note,master_years,master_institute,master_major,master_minor,master_degree,master_note,phd_years,phd_institute,phd_major,phd_minor,phd_degree,phd_note
Foxconn Electronics Inc,Terry Gou,Chairman and CEO[56],1974,Founder of the firm,2017/11/14,,,,,,,,,,,,,,,,,,
Fox Corporation,Lachlan Murdoch,Executive chairman and CEO,2019,Son of Rupert Murdoch,2020/03/05,,Princeton University,Philosophy,,,,,,,,,,,,,,,
FUBU,Daymond John,"Founder, president and CEO",1992,Also an investor on the American version of Shark Tank,2017/11/14,,,,,,,,,,,,,,,,,,
General Dynamics,Phebe Novakovic,Chairman and CEO[57],2014,Worked for the Central Intelligence Agency and the United States Department of Defense,2017/11/14,,Smith College,,,,,????-1988, Wharton School of the University of Pennsylvania,,,MBA,,,,,,,
General Electric,H. Lawrence Culp Jr.,Chairman and CEO,2018,"Prior to joining GE, Culp worked at Danaher Corporation in Washington, D.C.",2018/10/01,,Washington College,,,BA,,,Harvard Business School,,,MBA,,,,,,,
General Motors,Mary T. Barra,Chairman and CEO[58],2014,First female CEO of a major global automaker,2017/11/14,????-1985,Kettering University,electrical engineering,,BS,Kettering University used to be called General Motors Institute,????-1990,Stanford Graduate School of Business,,,MBA,,,,,,,
GlaxoSmithKline,Emma Walmsley,CEO[59],2017,Replaced Andrew Witty on his retirement,2017/11/13,,,,,,,,Oxford University,Classics and Modern Languages,,MA,,,,,,,
Goldman Sachs,David M. Solomon,CEO[60],2018,"Previously with Proskauer Rose and Donovan, Leisure, Newton & Irvine",2019/05/09,,Hamilton College,"political science, government",,,,,,,,,,,,,,,
Google,Sundar Pichai,CEO[61],2015,Former director of Jive Software from 2011 to 2013,2017/11/13,,IIT Kharagpur,metallurgical engineering,,Btech,,,Stanford University:::Wharton School of the University of Pennsylvania,materials science and engineering:::,,MS:::MBA,,,,,,,
GMA Network,Felipe Gozon,Chairman and CEO[62],2000,A member of the board since 1975,2017/11/13,????-1962,University of the Philippines,,,"A.A., LL.B.",,????-1965,Yale Law School,,,LL.M.,,,,,,,
GVK Group,Gunupati Venkata Krishna Reddy,Chairman and MD[63],1992,Founder of the firm,2017/11/13,,,,,,,,,,,,,,,,,,
HCL Technologies,C Vijayakumar,President and CEO[64],2016,"Joined the firm in 1994, previously the COO",2017/11/13,,PSG College of Technology,electrical & electronics engineering,,EEE,,,,,,,,,,,,,
Henderson Land Development,Lee Shau Kee,Chairman and MD[65],1976,"Founder of the firm, and one of the richest men in the world",2017/11/13,,,,,,,,,,,,,,,,,,
Hewlett Packard Enterprise,Antonio Neri,President and Chief Executive Officer[66],2015,25 years with HP,2021/04/11,,National Technological University,,,,,,,,,,,,,,,,
Honeywell,Darius Adamczyk,"Chairman, President, and CEO[67]",2017,Succeeded David M. Cote (now the executive chairman),2017/11/13,,Michigan State University,electrical and computer engineering,,BS,,,Syracuse University:::Harvard Business School,computer engineering:::,,MS:::MBA,,,,,,,
HP Hood LLC,John A. Kaneb,"Chairman, president and CEO[68]",1995,Acquired the firm in 1995 from Agway,2017/11/13,1952-1956,Harvard University,Economics,,BA,,,,,,,,,,,,,
HSBC,Noel Quinn,Group CEO[69],2019,Succeeded John Flint.,2017/11/13,????-1983,Birmingham City University,Accountancy,,BA,,,,,,,,,,,,,
IBM,Arvind Krishna,"Chairman, president and CEO[70]",2020,Succeeded Ginni Rometty.,2020/04/06,,,,,,,,,,,,,,,,,,
IMS Group,Dikesh Malhotra,President and CEO,2012,"Son of Founder and Chairman of IMS Group, Deepak Malhotra",2018/11/11,,,,,,,,,,,,,,,,,,
Infosys,Salil Parekh,Interim CEO and MD[71],2018,Previously on the board of Capgemini,2018/02/20,,,,,,,,,,,,,,,,,,
Intel,Pat Gelsinger,CEO[72],2021,Replaced Robert H. Swan,2021/03/22,,,,,,,,,,,,,,,,,,
InterCall,Scott Etzler,President and CEO,1999,Also serves on the board of Steppenwolf Theater Company[73],2017/11/13,,,,,,,,,,,,,,,,,,
J.Crew,Millard Drexler,CEO[74],2017,"Previously with West Elm, J. C. Penney, May Company, Anthropologie, and Urban Outfitters",2017/11/13,,,,,,,,,,,,,,,,,,
Jefferies Group,Richard B. Handler,Chairman and CEO[75],2001,Longest tenured CEO of a major Wall Street firm,2017/11/13,,,,,,,,,,,,,,,,,,
JP Morgan Chase,James Dimon,Chairman and CEO[76],2004,Also on the board of the New York Federal Reserve,2017/11/13,,,,,,,,,,,,,,,,,,
"Kaplan, Inc.",Andrew S. Rosen,Chairman and CEO[77],2002,Previously with The Washington Post and Newsweek,2017/11/13,,,,,,,,,,,,,,,,,,
KLM Royal Dutch Airlines,Pieter Elbers,CEO & President,2000,Previously CEO of Transavia france,,,,,,,,,,,,,,,,,,,
Koch Industries Inc.,Charles G. Koch,Chairman and CEO[78],1967,Son of co-founder Fred C. Koch,2017/11/13,,,,,,,,,,,,,,,,,,
Land Securities,Robert Noel,CEO[79],2012,Succeeded Francis Salway,2017/11/13,,,,,,,,,,,,,,,,,,
Las Vegas Sands,Sheldon Adelson,Chairman and CEO[80],1988,Founder of the Adelson Foundation,2017/11/13,,,,,,,,,,,,,,,,,,
L Brands,Les Wexner,"Founder, chairman and CEO",1963,Founder of the firm,2018/02/02,,,,,,,,,,,,,,,,,,
